w5_hhid			Household_Identifier				Household identifier
w5_a_sample			Sample_Origin					-- From which sample did this respondent originate?
w5_a_dob_m			Month_DOB					b1_m - Date of birth (month)
w5_a_dob_y			Year_DOB					b1_y - Date of birth (year)
w5_a_gen			Gender						b2 - Gender
w5_a_popgrp			Population_Group				b3 - Population group
w5_a_mar			Married_Cohabitation				b4_2 - Formally married or living with a partner
w5_a_mary_m			Years_Married					b5_1 - No. of years married to this partner
w5_a_mary_l			Years_Cohabiting				b5_2 - No. of years living with this partner
w5_a_curmarst			Current_Relationship_Status			b6_2 - Currently married, widowed, divorced or separated?
w5_a_bhbrth			Given_Birth					c1_2 - Ever given birth?
w5_a_bhcnt1con			Birth_Count					c1_3 - How many children have you given birth to in total?
w5_a_bhlive			Biological_Children_Living			c1_4 - Have biological children living with you?
w5_a_mthtertyn			Mother_Degrees					d8a - Mother completed diplomas, certificates or degrees?
w5_a_mthtert			Mother_Highest_Tertiary			d8b - Highest level of tertiary education that mother successfully completed
w5_a_fthtert_o			Father_Highest_Tertiary			d18b_o - Other: Highest level of tertiary education father successfully complete
w5_a_em1			Employment_Payment				eb1 - Are you currently being paid a regular wage/salary; part time/full time?
w5_a_em1strty			Primary_Occupation				eb2_y - Primary occupation start year
w5_a_em1inc			Primary_Gross_Income_Month			eb9 - Gross income for primary occupation last month
w5_a_em1pay			Primary_Net_Income_Month			eb10 - Net income for primary occupation last month
w5_a_em1inc_cat		Main_Job_Income_Category			eb11_cat - Main job income category, created from brackets
w5_a_em1hrs			Work_Week_Hours				eb12 - Average work week (hours) at primary occupation
w5_a_em1prf			Rec_Share_Profit_Year				eb13_2_1 - Received share of profit in last 12 months?	
w5_a_em1prf_a			Share_Profit_Year				eb13_2_2 - Share of profit amount in last 12 months	
w5_a_em1prflm			Rec_Share_Profit_Month				eb13_2_3 - Received share of profit in last month?	
w5_a_em1prflm_a		Share_Profit_Month				eb13_2_4 - Share of profit amount in last month	
w5_a_em1bon			Rec_Bonus_Year					eb13_3_1 - Received other bonus in the last 12 months?
w5_a_em1bon_a			Other_Bonus_Year				eb13_3_2 - Other bonus amount in last 12 months	
w5_a_em1bonlm			Rec_Bonus_Month				eb13_3_3 - Received other bonus in last month?	
w5_a_em1bonlm_a		Other_Bonus_Month				eb13_3_4 - Other bonus amount in last month	
w5_a_em1pcrt			Rec_Extra_Income_Year				eb13_4_1 - Received extra income on piece rate basis in last 12 months?	
w5_a_em1pcrt_a			Extra_Income_Year				eb13_4_2 - Extra income on piece rate basis amount in last 12 months	
w5_a_em1pcrtlm			Rec_Extra_Income_Month				eb13_4_3 - Received extra income on piece rate basis in last month?	
w5_a_em1pcrtlm_a		Extra_Income_Month				eb13_4_4 - Extra income on piece rate basis amount in last month
w5_a_em2			Have_Secondary_Occupation			eb16 - Existence of secondary occupation?
w5_a_em2inc			Secondary_Gross_Income				eb22 - Gross income in secondary occupation	
w5_a_em2pay			Secondary_Net_Income				eb23 - Net income in secondary occupation
w5_a_em2inc_cat		Secondary_Income_Category			eb24_cat - Second job income category, created from brackets
w5_a_ems			Is_Self_Employed				ec1 - Existence of self-employment?
w5_a_emssll			Net_After_Liabilities				ec7_2 - Net worth of business after liquidation credit, breakeven or debt	
w5_a_emslft			Amount_Left_Over				ec7_3 - How much would be left over?
w5_a_emsincfr_a		Month_Take_Home_Salary				ec15_2 - How much was last month's take home salary from all businesses?
w5_a_incgovpen			Pension					f1_1_1 - Recipient of state (RSA) pension?	
w5_a_incgovpen_v		Pension_Amount					f1_1_2 - Amount received from state (RSA) pension	
w5_a_incdis			Disability_Grant				f1_2_1 - Recipient of disability grant?	
w5_a_incdis_v			Disability_Grant_Amount			f1_2_2 - Amount received from disability grant	
w5_a_incchld			Child_Support					f1_3_1 - Recipient of child support grant?	
w5_a_incchld_v			Child_Support_Amount				f1_3_2 - Amount received from child support grant	
w5_a_incfos			Foster_Care_Grant				f1_4_1 - Recipient of foster care grant?	
w5_a_incfos_v			Foster_Care_Grant_Amount			f1_4_2 - Amount received from foster care grant	
w5_a_inccare			Dependency_Grant				f1_5_1 - Recipient of care dependency grant?	
w5_a_inccare_v			Dependency_Grant_Amount			f1_5_2 - Amount received from care dependency grant	
w5_a_incaid			Grant_In_Aid					f1_21_1 - Recipient of grant in aid?	
w5_a_incaid_v			Grant_In_Aid_Amount				f1_21_2 - Amount received from grant in aid	
w5_a_incwar			War_Veterans_Pension				f1_6_1 - Recipient of war veterans pension?	
w5_a_incwar_v			War_Veterans_Pension_Amount			f1_6_2 - Amount received from war veterans pension	
